./analysis/mapping/SRR6502193.genes.results	./analysis/mapping/SRR6502196.genes.results	./analysis/mapping/SRR6502199.genes.results	./analysis/mapping/SRR6502202.genes.results	./analysis/mapping/SRR6502205.genes.results	./analysis/mapping/SRR6502208.genes.results
Adssl1	223.55	364.03	283.92	374.62	377.65	386.18
Adtrp	0.00	6.62	15.44	2.87	2.60	1.11
Aebp1	0.00	0.00	0.00	0.00	0.00	0.00
Aebp2	17.45	6.30	3.79	1.82	4.67	3.71
Aen	45.28	4.78	2.53	3.59	3.22	2.49
Afap1	35.00	11.19	6.70	5.29	8.84	5.84
Afap1l1	35.37	1.80	0.30	0.00	0.08	0.97
Afap1l2	0.00	0.00	0.00	0.00	0.00	0.00
Afdn	0.61	2.33	3.10	1.73	1.03	1.14
Aff1	29.83	30.69	34.87	23.47	30.76	32.52
Aff2	0.24	4.92	5.06	0.10	0.70	0.21
Aff3	7.30	0.68	0.36	0.12	0.12	0.00
Aff4	7.26	4.11	8.11	9.66	18.58	9.65
Afg1l	7.74	0.77	3.10	0.16	0.54	0.80
Afg3l1	120.80	43.96	49.93	11.08	15.07	13.42
Afg3l2	88.68	31.83	36.90	5.17	8.44	5.32
Afm	0.00	0.00	0.00	0.00	0.00	0.00
Afmid	7.85	5.03	7.01	2.83	4.85	2.71
Afp	0.21	0.00	0.00	0.00	0.00	0.00
Aftph	25.41	13.99	18.80	42.82	66.08	51.69
Aga	54.72	30.76	16.56	55.10	36.20	33.33
Agap1	2.69	17.45	16.85	11.89	9.13	9.43
Agap2	2.55	0.88	1.95	1.66	1.58	1.29
Agap3	10.27	4.75	4.53	5.57	8.13	2.88
Agbl1	0.00	0.09	0.00	0.05	0.00	0.00
Agbl2	0.00	0.35	0.28	0.00	0.00	0.00
Agbl3	0.40	0.13	0.13	0.00	0.00	0.11
Agbl4	0.00	0.00	0.00	0.00	0.00	0.00
Agbl5	10.30	2.97	2.93	0.20	0.00	0.09
Ager	1.74	2.53	3.64	7.85	9.34	10.11
Agfg1	5.56	9.33	11.31	10.49	11.51	7.19
Agfg2	25.17	21.46	32.95	6.98	3.85	7.75
Aggf1	13.17	58.15	65.05	28.16	24.54	37.37
Agk	74.21	12.43	9.41	0.18	0.72	0.55
Agl	8.31	25.30	41.99	23.07	12.80	16.09
Agmat	0.00	0.00	0.00	0.00	0.00	0.00
Agmo	0.00	1.19	0.00	0.00	0.00	0.00
Ago1	4.66	1.14	1.47	1.81	1.47	1.43
Ago2	9.66	12.26	14.08	15.53	21.94	12.70
Ago3	4.86	3.75	2.24	1.00	1.75	1.50
Ago4	2.20	2.46	2.48	11.59	8.65	6.80
Agpat1	29.38	31.36	39.08	20.93	15.01	36.89
Agpat2	31.14	608.52	466.95	79.94	105.74	85.21
Agpat3	2.65	0.18	0.00	0.86	1.12	1.16
Agpat4	3.02	1.14	6.52	41.63	21.80	27.52
Agpat5	59.91	20.30	12.61	12.05	23.38	10.57
Agps	63.41	56.95	49.80	11.19	8.92	11.34
Agr2	0.00	0.00	0.00	0.00	0.00	0.00
Agr3	0.00	0.00	0.00	0.00	0.00	0.00
Agrn	2.15	4.62	6.27	11.02	16.95	12.08
Agrp	0.00	0.00	0.00	0.00	0.00	0.00
Agt	0.00	0.00	0.00	0.00	0.15	0.00
Agtpbp1	22.64	27.73	26.08	12.52	6.34	5.58
Agtr1a	0.00	0.00	0.00	0.00	0.00	0.00
Agtr1b	0.00	0.00	0.00	0.00	0.00	0.00
Agtr2	0.00	0.00	0.00	0.00	0.00	0.00
Agtrap	38.63	92.46	115.07	25.44	29.39	30.30
Agxt	0.00	0.00	0.00	0.00	0.00	0.00
Agxt2	0.00	0.00	0.00	0.00	0.00	0.00
Ahctf1	14.30	10.03	6.01	3.30	6.98	2.73
Ahcy	252.12	24.79	11.94	2.24	3.13	2.38
Ahcyl1	37.13	15.19	8.06	5.15	5.68	8.96
Ahcyl2	5.44	1.05	3.40	1.39	5.71	5.45
Ahdc1	0.60	0.10	0.32	0.31	0.92	0.20
Ahi1	7.12	3.77	1.46	0.89	1.44	2.36
Ahnak	6.55	0.47	25.21	0.21	3.75	1.80
Ahnak2	0.00	0.00	0.00	0.00	0.00	0.00
Ahr	0.93	0.06	0.61	0.03	4.22	1.77
Ahrr	0.27	0.00	0.00	0.00	0.00	0.00
Ahsa1	559.61	153.28	102.52	147.64	119.27	108.41
Ahsa2	59.09	22.41	19.06	6.33	19.82	8.85
Ahsg	0.00	0.00	0.00	0.00	0.00	0.00
Ahsp	0.00	0.00	0.00	0.00	1.04	8.59
Aicda	0.00	0.00	0.00	2.64	5.46	4.16
Aida	8.64	12.86	6.70	3.04	5.88	1.57
Aif1	1.73	1.77	0.55	0.89	1.43	0.65
Aif1l	0.00	0.00	0.00	0.00	0.00	0.00
Aifm1	103.55	35.61	17.31	5.79	5.30	6.15
Aifm2	9.63	27.15	34.23	2.65	1.95	1.24
Aifm3	0.00	0.00	0.00	0.00	0.00	0.00
Aig1	10.83	1.03	0.59	0.00	0.07	0.00
Aim2	47.70	5.02	3.75	21.48	31.86	39.96
Aimp1	107.86	30.13	15.93	7.36	7.77	7.85
Aimp2	144.17	33.58	14.72	10.06	10.09	9.05
Aip	123.99	248.58	213.30	238.12	188.76	176.76
Aipl1	0.78	1.22	0.63	0.00	0.00	0.38
Aire	0.00	0.00	0.00	0.00	0.00	0.00
Airn	0.00	0.32	0.00	0.00	0.00	0.00
Ajap1	0.00	0.00	0.00	0.00	0.00	0.00
Ajm1	0.30	0.00	0.00	0.00	0.00	0.00
Ajuba	0.29	0.00	0.46	0.21	0.37	0.74
Ak1	3.18	0.00	0.00	0.00	0.00	0.00
Ak2	437.99	306.49	290.40	26.53	25.95	23.77
Ak3	85.99	29.68	43.66	9.81	10.37	14.49
Ak4	25.24	1.34	0.00	0.00	0.14	0.06
Ak5	0.00	0.00	0.00	0.45	0.32	0.00
Ak6	54.22	32.17	8.35	2.37	4.96	2.70
Ak7	0.00	0.20	0.00	0.14	0.05	0.00
Ak8	1.37	0.11	5.85	0.00	1.09	0.00
Ak9	0.00	0.00	0.00	0.00	0.00	0.00
Akain1	0.00	0.00	0.27	0.00	0.00	0.00
Akap1	10.72	0.50	0.24	0.00	0.00	0.00
Akap10	45.72	21.50	23.23	21.37	23.06	22.30
Akap11	11.72	11.90	17.14	1.91	2.50	1.17
Akap12	0.00	0.17	0.64	1.08	0.00	0.18
Akap13	52.66	34.22	66.94	141.81	169.57	158.70
Akap14	0.50	0.28	0.00	0.11	0.78	0.00
Akap17a	0.00	0.00	0.00	0.00	0.00	0.00
Akap17b	1.62	0.00	0.03	0.12	0.32	0.00
Akap3	0.00	0.00	0.00	0.00	0.00	0.00
Akap4	0.00	0.00	0.00	0.00	0.00	0.00
Akap5	0.06	0.05	0.00	0.05	0.04	0.00
Akap6	0.00	0.00	0.00	0.00	0.00	0.00
Akap7	3.63	1.33	1.05	6.50	12.27	13.51
Akap8	109.98	33.71	31.86	28.89	61.25	29.84
Akap8l	58.92	24.54	36.83	73.19	96.35	73.35
Akap9	13.26	6.31	6.28	3.72	6.36	4.98
Akip1	65.85	21.44	4.08	0.66	0.00	0.00
Akirin1	123.95	139.42	206.08	163.38	221.80	164.87
Akirin2	4.70	24.45	6.73	4.61	14.11	3.60
Akna	44.48	99.42	200.87	353.27	309.63	394.00
Aknad1	0.00	0.00	0.00	0.00	0.00	0.00
Aknaos	0.13	0.60	1.31	4.96	3.40	3.62
Akp3	0.00	0.00	0.00	0.00	0.00	0.00
Akr1a1	1025.59	214.57	219.61	150.88	144.56	157.36
Akr1b10	83.19	8.76	2.41	0.63	0.00	0.00
Akr1b3	423.65	55.09	45.26	2.20	3.22	3.43
Akr1b7	0.00	0.00	0.00	0.00	0.00	0.00
Akr1b8	0.00	0.00	0.00	0.00	0.00	0.00
Akr1c12	2.03	0.00	0.29	0.00	0.00	0.22
Akr1c13	52.42	3.20	3.38	1.99	0.00	0.00
Akr1c14	0.00	0.00	0.00	0.00	0.00	0.00
Akr1c18	0.00	0.00	0.29	0.00	0.00	0.00
Akr1c19	0.00	0.00	0.00	0.00	0.00	0.00
Akr1c20	0.00	0.00	0.00	0.00	0.00	0.00
Akr1c21	0.00	0.00	0.00	0.00	0.00	0.00
Akr1c6	0.00	0.00	0.00	0.00	0.00	0.00
Akr1cl	0.00	0.00	0.00	0.00	0.00	0.00
Akr1d1	0.00	0.00	0.00	0.00	0.00	0.00
Akr1e1	53.13	2.70	0.66	0.00	0.00	0.00
Akr7a5	53.29	10.34	5.53	0.58	1.08	1.25
Akt1	43.92	29.09	41.98	213.64	228.12	251.33
Akt1s1	41.63	11.28	9.15	10.04	11.38	14.48
Akt2	81.57	70.04	86.44	184.00	224.26	199.23
Akt3	8.12	4.22	2.09	0.56	1.54	2.06
Aktip	20.54	39.29	39.59	29.63	41.66	39.18
Alad	66.05	11.88	3.10	0.17	0.00	0.43
Alas1	867.75	328.73	254.40	118.76	127.41	104.83
Alas2	0.34	0.69	0.00	0.10	49.16	833.49
Alb	0.00	0.00	0.00	0.57	0.00	0.00
Albfm1	0.00	0.00	0.00	0.00	0.00	0.00
Alcam	18.06	24.48	9.12	52.14	66.24	83.14
Aldh16a1	117.05	64.22	56.33	35.52	49.71	49.83
Aldh18a1	65.19	5.24	2.85	0.00	1.53	0.14
Aldh1a1	0.00	0.00	0.00	0.00	0.40	7.54
Aldh1a2	0.00	0.00	0.00	0.00	0.00	0.65
Aldh1a3	0.00	0.00	0.00	0.00	0.00	0.00
Aldh1a7	0.00	0.00	0.00	0.00	0.00	0.00
Aldh1b1	83.44	2.20	7.51	0.00	0.00	0.74
Aldh1l1	2.26	0.00	0.00	0.24	0.00	0.00
Aldh1l2	0.03	0.08	0.00	0.00	0.00	0.00
Aldh2	328.65	643.31	1395.17	392.64	190.86	320.86
Aldh3a1	0.00	0.00	0.00	0.00	0.00	0.00
Aldh3a2	43.08	107.79	166.29	135.70	114.51	105.22
Aldh3b1	32.64	415.67	658.33	545.84	446.51	473.28
Aldh3b2	0.00	4.05	16.88	0.00	0.00	0.81
Aldh3b3	0.00	9.84	44.36	0.42	0.20	0.00
Aldh4a1	67.44	29.36	22.40	28.61	35.08	44.23
Aldh5a1	1.54	0.60	0.21	0.00	0.00	0.00
Aldh6a1	25.47	9.95	6.28	2.92	6.03	4.75
Aldh7a1	16.10	1.64	2.27	0.13	0.72	0.00
Aldh8a1	0.00	0.00	0.00	0.17	0.48	0.00
Aldh9a1	280.00	79.75	59.65	4.45	5.19	4.97
Aldoa	1745.42	1333.40	1670.82	2075.37	1720.92	1572.12
Aldoart1	0.11	0.25	0.31	0.10	0.00	0.24
Aldoart2	0.00	0.00	0.00	0.00	0.00	0.00
Aldob	0.00	0.00	0.00	0.00	0.00	0.00
Aldoc	0.63	0.00	0.06	2.75	3.15	2.33
Alg1	46.91	30.23	27.03	8.51	17.74	13.82
Alg10b	11.42	15.09	12.74	2.46	0.21	3.13
Alg11	17.45	6.41	5.16	2.10	2.63	2.09
Alg12	27.75	14.96	16.38	8.15	8.61	11.11
Alg13	16.22	13.69	10.00	0.67	0.65	0.37
Alg14	19.48	7.64	3.47	1.79	2.63	2.39
Alg2	60.51	16.39	19.52	4.46	5.16	4.19
Alg3	99.92	19.51	13.76	1.78	0.00	0.42
Alg5	113.42	32.94	12.68	8.20	8.67	7.82
Alg6	34.91	16.86	7.82	0.00	0.00	0.00
Alg8	142.65	36.56	12.92	0.00	0.00	0.00
Alg9	17.41	10.86	5.50	0.97	4.02	4.11
Alk	0.00	0.00	0.00	0.00	0.00	0.00
Alkal1	0.00	0.00	0.00	0.00	0.00	0.00
Alkal2	0.00	0.00	0.00	0.00	0.00	0.00
Alkbh1	68.15	13.50	14.51	3.34	5.36	2.06
Alkbh2	10.30	1.35	0.00	0.00	0.74	1.35
Alkbh3	80.93	33.56	29.10	23.24	16.89	20.81
Alkbh3os1	0.30	0.00	0.21	0.00	0.00	0.00
Alkbh4	42.71	38.67	43.56	18.72	11.72	16.39
Alkbh5	15.21	25.77	18.52	24.24	41.97	22.35
Alkbh6	33.33	6.19	4.82	6.77	7.00	7.67
Alkbh7	9.69	2.58	1.22	1.33	2.47	3.87
Alkbh8	35.94	6.14	4.89	0.34	0.56	0.00
Allc	0.00	0.00	0.00	0.00	0.00	0.00
Alms1	6.93	2.65	1.36	0.00	0.00	0.00
Alms1-ps2	0.00	0.00	0.21	0.00	0.00	0.96
Alox12	0.00	0.00	0.00	0.12	8.71	17.22
Alox12b	0.00	0.00	0.00	0.00	0.00	0.00
Alox12e	1.49	0.00	0.46	0.00	0.00	0.63
Alox15	1.25	1.55	1.84	0.48	0.22	19.65
Alox5	32.89	386.13	684.77	766.52	542.23	554.11
Alox5ap	354.65	907.39	867.57	2789.33	2452.07	2315.25
Alox8	0.00	0.00	0.00	0.00	0.00	0.00
Aloxe3	0.00	0.00	0.00	0.00	0.00	0.00
Alpi	0.00	0.00	0.00	0.00	0.00	0.00
Alpk1	11.63	2.00	5.42	1.47	0.17	0.43
Alpk2	0.00	0.00	0.00	0.00	0.00	0.00
Alpk3	0.29	0.00	0.00	0.09	0.04	0.04
Alpl	0.00	0.00	0.00	0.15	0.00	0.00
Alppl2	0.00	0.00	0.00	0.00	0.00	0.00
Als2	9.06	4.94	2.23	2.36	6.56	4.66
Als2cl	0.78	0.38	0.84	0.45	3.09	1.20
Alx1	0.00	0.00	0.00	0.00	0.00	0.00
Alx3	0.00	0.00	0.00	0.00	0.00	0.00
Alx4	0.00	0.00	0.00	0.00	0.00	0.00
Alyref	11.44	37.14	3.94	0.30	3.02	0.00
Alyref2	9.89	1.87	2.03	9.13	24.52	10.76
Amacr	7.87	1.84	2.28	0.83	0.71	0.42
Ambn	0.00	0.00	0.00	0.00	0.00	0.00
Ambp	0.19	1.16	0.00	0.17	1.42	1.95
Ambra1	25.29	14.76	18.76	14.82	16.48	18.84
Amd1	323.01	82.99	60.30	23.70	48.72	35.52
Amd2	10.97	1.41	0.94	0.99	1.01	1.29
Amdhd1	0.19	0.00	0.00	0.00	0.00	0.00
Amdhd2	126.75	75.59	69.06	97.04	120.84	96.80
Amelx	0.00	0.00	0.00	0.00	0.00	0.00
Amer1	8.19	1.46	0.55	0.00	0.03	0.00
Amer2	0.02	1.71	5.50	26.85	17.20	23.23
Amer3	0.00	0.00	0.00	0.00	0.00	0.00
Amfr	36.36	77.38	74.25	127.80	122.43	104.24
Amh	0.00	0.00	0.19	0.00	0.00	0.15
Amhr2	0.00	0.00	0.00	0.61	1.22	2.06
Amigo1	0.96	0.44	0.10	0.00	0.86	0.13
Amigo2	0.00	0.39	0.00	0.00	0.32	0.00
Amigo3	3.94	1.05	3.13	1.38	0.86	3.80
Ammecr1	6.79	3.22	3.41	1.29	1.88	0.92
Ammecr1l	47.21	23.66	20.05	14.74	17.72	21.97
Amn	0.00	0.00	0.12	0.00	0.21	0.00
Amn1	8.09	10.65	9.83	36.79	65.88	41.92
Amot	4.69	0.02	0.32	0.00	0.00	0.00
Amotl1	0.00	0.00	0.00	0.00	0.00	0.00
Amotl2	1.70	18.35	14.40	9.03	17.41	24.20
Ampd1	0.00	0.00	0.00	0.00	0.00	0.00
Ampd2	183.42	84.50	88.69	36.75	39.68	37.05
Ampd3	4.37	74.21	152.28	191.06	185.61	215.60
Amph	0.00	0.00	0.00	0.00	0.00	0.00
Amt	1.18	0.00	0.32	0.13	1.66	0.67
Amtn	0.00	0.00	0.00	0.00	0.00	0.00
Amy1	0.00	0.21	0.00	0.00	1.02	0.00
Amy2a1	0.00	0.00	0.00	0.00	0.00	0.00
Amy2a2	0.00	0.00	0.00	0.00	0.00	0.00
Amy2a3	0.00	0.00	0.00	0.00	0.00	0.00
Amy2a4	0.00	0.00	0.00	0.00	0.00	0.00
Amy2a5	0.00	0.00	0.00	0.00	0.00	0.00
Amy2b	0.00	0.00	0.00	0.00	0.00	0.00
Amz1	3.00	0.90	1.30	10.21	70.84	25.57
Amz2	28.45	14.55	14.80	2.53	4.10	2.38
Anapc1	70.92	26.85	21.69	2.94	4.63	3.48
Anapc10	32.04	12.51	6.45	4.18	10.82	2.14
Anapc11	8.71	9.14	3.39	3.18	6.26	7.69
Anapc13	21.56	16.63	8.83	7.00	9.23	11.89
Anapc15	62.44	71.65	33.68	5.87	5.31	7.35
Anapc16	28.36	11.22	9.09	15.54	20.13	17.50
Anapc2	126.02	77.33	110.24	107.66	101.93	106.88
Anapc4	78.42	49.46	48.81	33.62	33.30	38.38
Anapc5	532.82	337.95	172.70	30.68	24.13	22.28
Anapc7	68.11	35.64	37.46	12.54	22.83	24.82
Ang	0.90	0.00	0.76	0.41	1.33	1.04
Ang2	0.00	0.00	0.00	0.00	0.00	0.00
Ang4	0.00	0.00	0.00	0.00	0.00	0.00
Ang5	0.00	0.00	0.00	0.00	0.00	0.00
Ang6	0.00	0.00	0.00	0.00	0.00	0.00
Angel1	5.27	0.28	0.00	0.00	0.00	0.00
Angel2	54.40	39.85	31.71	32.47	52.38	40.89
Angpt1	25.68	0.04	0.67	0.00	1.51	2.08
Angpt2	0.75	0.00	0.08	1.91	1.15	0.13
Angpt4	0.00	0.00	0.00	0.00	0.00	0.10
Angptl1	0.10	0.00	0.00	0.00	0.00	0.00
Angptl2	1.62	0.00	0.00	0.38	0.52	0.48
Angptl3	1.14	0.11	0.00	0.00	0.00	0.00
Angptl4	47.06	1.95	0.00	0.00	0.00	0.40
Angptl6	6.66	0.24	0.11	0.79	0.00	0.00
Angptl7	0.00	0.00	0.08	0.57	0.00	0.00
Angptl8	1.60	0.00	0.00	0.00	0.00	0.00
Ank	5.20	0.72	2.62	1.42	2.20	1.14
Ank1	0.05	0.00	0.00	0.00	0.00	0.22
Ank2	0.00	0.00	0.00	0.01	0.00	0.00
Ank3	0.00	0.00	0.22	0.02	0.00	0.07
Ankar	0.00	0.00	0.00	0.00	0.00	0.00
Ankdd1a	0.19	0.00	0.00	0.81	4.34	1.34
Ankdd1b	0.00	0.00	0.00	0.00	0.00	0.00
Ankef1	0.00	0.00	0.00	0.00	0.00	0.00
Ankfn1	0.00	0.00	0.00	0.00	0.00	0.00
Ankfy1	38.75	37.52	52.64	45.68	51.78	51.33
Ankhd1	19.96	11.31	9.67	10.97	21.39	16.62
Ankib1	6.63	3.65	4.11	2.89	4.54	3.21
Ankk1	0.00	0.00	0.00	0.00	0.00	0.00
Ankle1	56.21	44.41	21.32	0.00	0.03	0.00
Ankle2	35.54	20.86	28.22	39.24	48.16	55.94
Ankmy1	0.26	0.39	0.15	0.41	0.00	0.00
Ankmy2	26.82	8.70	4.51	0.00	0.00	0.40
Ankra2	12.26	11.06	12.70	13.99	24.02	21.49
Ankrd1	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd10	250.85	36.20	16.75	1.18	10.69	6.40
Ankrd11	18.60	14.58	14.51	34.01	54.33	42.29
Ankrd12	15.50	24.15	26.16	16.83	20.64	15.40
Ankrd13a	87.43	86.78	56.05	68.80	119.70	93.12
Ankrd13b	3.66	0.00	0.38	0.00	0.00	0.00
Ankrd13c	10.09	20.91	16.32	12.43	22.84	12.40
Ankrd13d	7.64	11.81	33.26	60.51	74.69	65.00
Ankrd16	36.19	21.39	33.24	42.70	56.15	47.00
Ankrd17	29.78	13.97	16.51	6.08	10.81	10.46
Ankrd2	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd22	0.26	101.37	223.76	129.69	49.78	51.95
Ankrd23	7.97	4.93	3.20	5.35	9.79	13.55
Ankrd24	1.21	0.05	1.07	0.00	0.00	0.33
Ankrd26	11.72	2.21	0.95	0.00	0.00	0.00
Ankrd27	69.16	26.32	33.71	11.53	6.82	10.24
Ankrd28	82.03	54.36	51.91	7.60	3.34	1.82
Ankrd29	0.62	0.00	0.00	0.09	0.00	0.00
Ankrd31	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd33	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd33b	0.00	0.65	9.19	150.10	185.48	136.70
Ankrd34a	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd34b	0.21	0.00	0.04	0.00	0.45	0.06
Ankrd34c	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd35	0.00	0.08	0.00	0.17	0.00	0.00
Ankrd36	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd37	1.67	0.45	0.97	14.38	25.83	9.09
Ankrd39	17.44	6.96	6.21	4.61	5.58	5.54
Ankrd40	9.70	6.05	8.88	3.22	2.21	2.15
Ankrd42	0.27	0.00	0.75	0.00	0.16	0.00
Ankrd44	41.69	54.32	62.70	126.36	129.52	139.21
Ankrd45	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd46	64.03	90.12	82.43	45.96	40.13	42.84
Ankrd49	47.92	12.85	7.35	2.24	4.46	3.87
Ankrd50	1.49	1.39	0.93	0.96	0.70	0.60
Ankrd52	7.82	2.94	4.11	1.50	0.90	3.71
Ankrd53	0.00	0.30	0.00	0.23	0.25	0.00
Ankrd54	89.58	61.35	37.04	13.52	20.91	23.03
Ankrd55	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd6	0.37	0.26	0.00	0.00	0.00	0.00
Ankrd60	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd61	0.13	0.29	0.00	0.13	0.82	0.15
Ankrd63	0.00	0.13	0.06	0.00	0.00	0.00
Ankrd65	0.00	0.00	0.00	0.00	0.00	0.00
Ankrd66	0.00	0.14	0.13	12.91	8.33	11.29
Ankrd7	0.00	0.06	0.04	0.00	0.43	0.15
Ankrd9	13.78	44.09	65.93	23.40	5.90	5.52
Anks1	55.30	16.04	15.75	19.93	23.06	14.82
Anks1b	0.00	0.00	0.36	0.15	0.14	0.00
Anks3	36.29	20.65	42.09	43.22	43.24	52.76
Anks4b	0.00	0.00	0.00	0.00	0.00	0.00
Anks6	0.32	0.00	0.66	0.31	0.75	1.88
Ankub1	0.00	0.00	0.00	0.00	0.00	0.00
Ankzf1	33.92	15.51	35.40	21.70	22.60	25.25
Anln	40.32	96.01	39.62	2.39	2.11	5.63
Ano1	0.00	0.00	0.00	0.00	0.00	0.00
Ano10	23.21	118.70	228.11	85.12	20.48	37.35
Ano2	0.00	0.00	0.00	0.00	0.00	0.00
Ano3	0.00	0.00	0.00	0.00	0.00	0.00
Ano4	0.50	0.00	0.00	0.00	0.00	0.00
Ano5	0.00	0.00	0.00	0.00	0.00	0.00
Ano6	43.48	50.93	63.79	16.22	20.28	26.60
Ano7	0.00	0.00	0.00	0.00	0.00	0.00
Ano8	0.00	0.00	0.00	0.00	0.00	0.00
Ano9	0.00	0.00	0.00	0.00	0.00	0.00
Anp32a	30.19	33.10	12.13	23.01	23.08	25.42
Anp32b	164.41	582.33	207.62	22.34	32.80	33.25
Anp32e	220.07	160.11	55.14	2.56	4.00	4.88
Anpep	0.00	0.16	0.16	0.00	0.00	0.00
Antkmt	96.31	79.90	40.26	20.42	31.53	25.32
Antxr1	0.69	0.00	0.00	0.00	0.00	0.00
Antxr2	21.62	40.49	116.91	207.77	276.56	187.96
Antxrl	0.00	0.00	0.00	0.00	0.00	0.00
Anxa1	668.83	8019.57	11441.23	3597.91	3215.40	2021.69
Anxa10	0.00	0.00	0.00	0.00	0.00	0.00
Anxa11	24.41	143.29	281.15	206.10	131.34	233.81
Anxa13	0.00	0.00	0.00	0.00	0.00	0.00
Anxa2	527.18	968.47	1754.15	5899.46	5820.22	5630.70
Anxa3	712.66	602.23	704.26	84.90	17.05	31.87
Anxa4	23.55	7.50	19.93	2.45	3.01	1.37
Anxa5	365.26	133.94	317.55	103.16	53.73	52.13
Anxa6	188.34	12.75	74.79	66.37	165.78	103.68
Anxa7	67.53	94.19	164.59	23.20	43.16	32.89
Anxa8	0.00	0.00	0.00	0.00	0.00	0.00
Anxa9	21.41	3.43	1.62	3.58	4.06	1.89
Aoah	35.05	86.44	126.65	15.19	7.26	6.99
Aoc1	0.63	0.00	0.00	0.00	0.00	0.00
Aoc2	1.96	1.55	0.30	2.66	4.37	0.57
Aoc3	0.00	0.00	0.00	0.00	0.00	0.00
Aopep	66.42	11.63	5.59	3.41	5.93	2.96
Aox1	0.00	0.00	0.00	0.12	0.75	0.05
Aox2	0.04	0.00	0.41	0.00	0.00	0.00
Aox3	0.00	0.00	0.00	0.00	0.00	0.00
Aox4	0.00	0.00	0.00	0.00	0.00	0.00
Ap1ar	16.20	6.87	5.30	1.05	3.61	4.53
Ap1b1	87.68	58.53	65.72	24.72	28.24	31.36
Ap1g1	29.17	27.19	36.57	29.47	33.69	34.24
Ap1g2	82.87	14.94	30.94	21.81	13.45	13.67
Ap1m1	230.45	300.86	315.57	297.19	398.74	315.50
Ap1m2	2.73	1.18	1.11	1.39	6.96	7.53
Ap1s1	234.84	110.68	50.04	13.40	8.78	11.91
Ap1s2	89.95	111.40	192.05	216.73	170.43	178.26
Ap1s3	0.22	0.28	0.60	0.14	0.58	0.18
Ap2a1	42.28	26.93	36.90	18.80	23.22	34.00
Ap2a2	45.28	102.29	130.83	30.98	28.93	31.11
Ap2b1	34.96	19.57	25.56	12.45	11.62	10.07
Ap2m1	337.45	289.30	303.17	167.71	170.10	179.68
Ap2s1	107.21	161.40	95.29	85.75	66.97	65.27
Ap3b1	91.66	49.44	65.43	64.06	43.96	50.96
Ap3b2	0.00	0.00	0.00	0.00	0.00	0.00
Ap3d1	64.83	38.94	71.50	81.67	101.94	97.87
Ap3m1	95.35	75.46	86.84	33.34	81.75	63.97
Ap3m2	2.62	2.63	2.44	4.70	14.06	9.99
Ap3s1	811.72	570.75	176.02	79.24	100.53	63.55
Ap3s2	25.13	7.91	5.47	1.11	0.43	1.02
Ap4b1	36.93	24.90	41.36	53.55	38.72	50.08
Ap4e1	10.80	9.91	3.40	1.60	3.07	1.10
Ap4m1	23.41	7.35	5.65	0.39	1.10	1.22
Ap4s1	38.89	20.19	10.55	36.09	27.26	22.79
Ap5b1	20.77	74.12	126.72	59.84	30.73	34.61
Ap5m1	34.90	23.84	29.11	17.03	19.82	15.35
Ap5s1	14.15	0.44	8.03	36.83	46.87	48.75
Ap5z1	20.68	10.62	15.34	18.51	20.16	18.13
Apaf1	35.09	55.25	54.53	26.81	33.53	31.49
Apba1	7.07	0.07	1.70	0.00	0.00	0.00
Apba2	0.00	0.00	0.00	0.00	0.00	0.00
Apba3	33.34	21.16	32.30	18.97	20.39	20.27
Apbb1	0.00	0.00	0.85	0.21	0.86	0.52
Apbb1ip	8.99	14.76	15.63	42.70	36.22	52.63
Apbb2	0.30	0.26	0.00	0.00	0.21	0.43
Apbb3	22.21	7.22	14.51	10.81	20.74	15.10
Apc	7.91	3.99	6.22	5.51	5.35	5.76
Apc2	0.00	0.00	0.05	0.12	0.16	0.00
Apcdd1	0.12	0.00	0.00	0.00	0.45	0.00
Apcs	0.00	0.00	0.00	0.00	0.00	0.00
Apeh	99.87	48.70	58.85	26.95	25.63	39.63
Apela	0.00	0.00	0.00	0.00	0.00	0.00
Apex1	430.63	21.15	4.46	0.98	1.37	0.42
Apex2	23.16	19.04	16.21	2.12	1.61	1.42
Aph1a	59.57	28.55	38.23	26.19	30.31	44.92
Aph1b	3.75	18.49	40.84	30.33	16.73	18.92
Aph1c	2.72	2.19	6.65	14.79	8.42	10.67
Api5	334.98	154.91	152.79	111.74	132.70	104.40
Apip	57.83	32.04	9.31	6.58	7.94	4.04
Aplf	37.53	11.57	5.77	2.58	3.48	0.50
Apln	0.86	1.15	2.46	1.77	1.48	3.75
Aplnr	0.00	4.30	16.60	0.62	0.29	0.33
Aplp1	0.00	0.00	0.00	0.00	0.00	0.00
Aplp2	45.12	30.08	48.82	48.99	70.54	75.95
Apmap	134.15	175.29	159.43	14.45	5.91	5.13
